[[{'duration': 3.48, 'start': 0.04, 'text': '안녕하세요. 조코딩입니다. 바이브'},
  {'duration': 4.439, 'start': 1.36, 'text': '코딩 1인 창업 부트캠프에 오신 것을'},
  {'duration': 4.44, 'start': 3.52, 'text': '환영합니다. 코딩을 진짜 아예 모르는'},
  {'duration': 5.041, 'start': 5.799, 'text': '왕초보도 이해하실 수 있도록 기본적인'},
  {'duration': 4.96, 'start': 7.96, 'text': '용어부터 글로벌 서비스를 만들고 광고'},
  {'duration': 5.039, 'start': 10.84, 'text': '결제를 붙여서 수익화를 진행하고'},
  {'duration': 5.08, 'start': 12.92, 'text': '심지어 미국 법인 설립 엑시까지 모두'},
  {'duration': 4.001, 'start': 15.879, 'text': '다루는 완성형 1인 창업과'},
  {'duration': 3.88, 'start': 18.0, 'text': '커리큘럼입니다. 조금 더 구체적으로'},
  {'duration': 4.36, 'start': 19.88, 'text': '소개해 드리면 바이브 코딩으로 AI'},
  {'duration': 4.44, 'start': 21.88, 'text': '기반의 IT 프로덕을 만드는 전'},
  {'duration': 4.4, 'start': 24.24, 'text': '과정을 다루는 강의인데요. 아이디어'},
  {'duration': 4.48, 'start': 26.32, 'text': '기획부터 개발, 마케팅, 수익화,'},
  {'duration': 4.56, 'start': 28.64, 'text': '데이터 분석, 그로스까지 AI 시대'},
  {'duration': 4.4, 'start': 30.8, 'text': '1인 창업과 프로덕트 빌더가 되기'},
  {'duration': 3.679, 'start': 33.2, 'text': '위해 필요한 모든 내용을 배우는'},
  {'duration': 3.8, 'start': 35.2, 'text': '강의입니다. 지금 보고 계시는이'},
  {'duration': 4.121, 'start': 36.879, 'text': '영상은 5주 동안 라이브 방송을'},
  {'duration': 4.399, 'start': 39.0, 'text': '통해서 이렇게 주차별 커리큘럼으로'},
  {'duration': 4.239, 'start': 41.0, 'text': '진행한 영상을 편집하여 합쳐 놓은'},
  {'duration': 4.0, 'start': 43.399, 'text': '영상인데요. 각 주차별 커리큘럼을'},
  {'duration': 4.48, 'start': 45.239, 'text': '간략하게 소개해 드리면 먼저 1주차'},
  {'duration': 5.041, 'start': 47.399, 'text': '때는 첫 기획부터 수익까지 즉'},
  {'duration': 4.68, 'start': 49.719, 'text': '기본적인 개념부터 광고 수익화까지를'},
  {'duration': 3.959, 'start': 52.44, 'text': '배워 보고요. 2주차 과정에는'},
  {'duration': 3.761, 'start': 54.399, 'text': '기본적인 데이터 분석, 퍼널,'},
  {'duration': 4.721, 'start': 56.399, 'text': 'SEO, GEO, 바이럴 구조,'},
  {'duration': 5.52, 'start': 58.16, 'text': '마케팅, 유입부터 성장까지 다루고'},
  {'duration': 5.359, 'start': 61.12, 'text': '3주차에는 내 서비스에 AI를 붙이고'},
  {'duration': 4.72, 'start': 63.68, 'text': '글로벌 결제를 구현해서 내 서비스를'},
  {'duration': 3.801, 'start': 66.479, 'text': '결제를 받아서 사용할 수 있도록'},
  {'duration': 3.6, 'start': 68.4, 'text': '만들어 보겠습니다. 4주차 때는'},
  {'duration': 4.479, 'start': 70.28, 'text': '데이터베이스, 회원 가입과 로그인'},
  {'duration': 5.2, 'start': 72.0, 'text': '기능도 구현을 해서 구독 서비스를'},
  {'duration': 4.881, 'start': 74.759, 'text': '구현하고 매월 반복 결제되는 그런'},
  {'duration': 4.76, 'start': 77.2, 'text': '사스 서비스로 만들어 볼 예정이고요.'},
  {'duration': 4.64, 'start': 79.64, 'text': '우주 차이는 실무적인 운영, 퍼포먼스'},
  {'duration': 4.839, 'start': 81.96, 'text': '마케팅, 그리고 앱 개발, 미국 법인'},
  {'duration': 4.64, 'start': 84.28, 'text': '설립, 엑시 전략까지 이렇게 5주'},
  {'duration': 4.881, 'start': 86.799, 'text': '과정 안에 AI 시대 1인 창업을'},
  {'duration': 5.0, 'start': 88.92, 'text': '위해 필요한 실전적인 내용들을 꽉꽉'},
  {'duration': 4.32, 'start': 91.68, 'text': '압축해서 담아두었습니다.이 영상을'},
  {'duration': 4.64, 'start': 93.92, 'text': '통해 많은 부분들을 무료로 공개를'},
  {'duration': 4.799, 'start': 96.0, 'text': '하였지만 라이브 풀 버전으로 직접'},
  {'duration': 4.16, 'start': 98.56, 'text': '실시간 지의 응답까지 포함된 더'},
  {'duration': 4.441, 'start': 100.799, 'text': '상세한 내용을 보고 싶으시다면'},
  {'duration': 4.88, 'start': 102.72, 'text': '멤버십의 가입 후 시청하실 수가 있게'},
